GenericNNet3 results
... Connectivity = 
[[0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
--> training_data generated (1000, 2)
Epoch 18700/25000: Average Cost = 0.037181815220746504
Epoch 18800/25000: Average Cost = 0.037136715055807616
Epoch 18900/25000: Average Cost = 0.03709192276270562
Epoch 19000/25000: Average Cost = 0.037047435622847597
Epoch 19100/25000: Average Cost = 0.03700325098723501
Epoch 19200/25000: Average Cost = 0.03695936627197327
Epoch 19300/25000: Average Cost = 0.03691577895398155
Epoch 19400/25000: Average Cost = 0.03687248656691225
Epoch 19500/25000: Average Cost = 0.03682948669729874
Epoch 19600/25000: Average Cost = 0.03678677698089687
Epoch 19700/25000: Average Cost = 0.03674435509921027
Epoch 19800/25000: Average Cost = 0.03670221877625339
Epoch 19900/25000: Average Cost = 0.03666036577545756
Epoch 20000/25000: Average Cost = 0.03661879389678896
Epoch 20100/25000: Average Cost = 0.03657750097404724
Epoch 20200/25000: Average Cost = 0.03653648487231674
Epoch 20300/25000: Average Cost = 0.03649574348560078
Epoch 20400/25000: Average Cost = 0.0364552747346055
Epoch 20500/25000: Average Cost = 0.036415076564694095
Epoch 20600/25000: Average Cost = 0.03637514694395873
Epoch 20700/25000: Average Cost = 0.03633548386145766
Epoch 20800/25000: Average Cost = 0.03629608532558455
Epoch 20900/25000: Average Cost = 0.03625694936255256
Epoch 21000/25000: Average Cost = 0.036218074015003814
Epoch 21100/25000: Average Cost = 0.03617945734074958
Epoch 21200/25000: Average Cost = 0.03614109741159908
Epoch 21300/25000: Average Cost = 0.036102992312312114
Epoch 21400/25000: Average Cost = 0.03606514013963266
Epoch 21500/25000: Average Cost = 0.036027539001418786
Epoch 21600/25000: Average Cost = 0.03599018701588455
Epoch 21700/25000: Average Cost = 0.03595308231087571
Epoch 21800/25000: Average Cost = 0.03591622302327548
Epoch 21900/25000: Average Cost = 0.03587960729844968
Epoch 22000/25000: Average Cost = 0.035843233289758906
Epoch 22100/25000: Average Cost = 0.03580709915815888
Epoch 22200/25000: Average Cost = 0.0357712030718409
Epoch 22300/25000: Average Cost = 0.035735543205914634
Epoch 22400/25000: Average Cost = 0.03570011774218747
Epoch 22500/25000: Average Cost = 0.03566492486893601
Epoch 22600/25000: Average Cost = 0.03562996278075329
Epoch 22700/25000: Average Cost = 0.03559522967844136
Epoch 22800/25000: Average Cost = 0.035560723768909286
Epoch 22900/25000: Average Cost = 0.03552644326514001
