time,input_force,position,velocity
2.07,2.321400692662177,7.1148777671533345,4.940905798780226
2.08,2.586115683708468,7.1642868251411365,4.940184935586053
2.09,2.517579940214873,7.213688674496997,4.938681698998955
2.1,2.366398649749332,7.263075491486987,4.935571603899956
2.11,2.3551756025245147,7.312431207525987,4.932258279932477
2.12,2.0894263437820477,7.361753790325311,4.926197035255415
2.13,2.0197857394726157,7.4110157606778655,4.919355892481351
2.14,2.3529439777359182,7.460209319602679,4.915764911006152
2.15,2.148753634548177,7.509366968712741,4.910042616434913
2.16,2.312012189706127,7.55846739487709,4.905868897853461
2.17,2.2130068697440377,7.607526083855625,4.900617359516513
2.18,1.9622401171179513,7.65653225745079,4.89277316512119
2.19,2.3914003265013775,7.7054599891020015,4.889142170958499
2.2,2.2370330570360726,7.754351410811586,4.8838787261232595
2.21,2.335979160622214,7.803190198072819,4.87952011809255
2.22,2.1413153633882063,7.851985399253745,4.873128091035055
2.23,2.252975968635104,7.900716680164095,4.867771059695311
2.24,2.6320154463406267,7.949394390761048,4.866120353149151
2.25,2.345649618128267,7.9980555942925395,4.861512759666039
2.2600000000000002,2.4298546871265843,8.0466707218892,4.857661413449555
2.27,2.065765056738843,8.095247336023695,4.850081569039541
2.2800000000000002,2.797746609592543,8.14374815171409,4.84974333654082
2.29,2.6886221697781574,8.1922455850795,4.848217703593821
2.3000000000000003,2.5926265163043913,8.240727762115437,4.845638933327722
2.31,2.4856926136350257,8.289184151448714,4.841900306606522
2.32,2.3229680737660234,8.33760315451478,4.836446868274769
2.33,2.408354221487397,8.385967623197526,4.831764087009926
2.34,2.529543366913041,8.434285264067626,4.828208175215137
2.35,2.1942254686189093,8.482567345819778,4.821211338935153
2.36,2.2310396692702144,8.530779459209128,4.814503572588878
2.37,1.9861129462959444,8.578924494935016,4.805266884201947
2.38,2.1655756025626998,8.626977163777036,4.797751624027199
2.39,2.6521997642356814,8.674954680017308,4.795025288281933
2.4,2.253089999883977,8.722904932900127,4.788218715700034
2.41,2.256370036811934,8.770787120057127,4.781366059413103
2.42,2.3834928246014746,8.818600780651257,4.775705998270471
2.43,1.997493956679146,8.866357840633961,4.766104471280284
2.44,2.5090157561315642,8.914018885346763,4.761546651982131
2.45,2.5732207891886256,8.961634351866584,4.757546955473368
2.46,2.3953986712061326,9.009209821421317,4.751683806093013
2.47,2.6502096154099486,9.056726659482248,4.748288273089037
2.48,2.0545730648868714,9.104209542213137,4.7388498297362185
2.49,2.68868257766442,9.1515980405105,4.735681111854096
2.5,2.17379113746812,9.198954851629042,4.7272766243681215
2.5100000000000002,2.0639554714614246,9.246227617872723,4.717700077818558
2.52,2.2724610258727167,9.293404618650909,4.710137982646993
2.5300000000000002,2.6943405542085115,9.34050599847738,4.706719233995159
2.54,2.316050989934141,9.387573190817331,4.699431933812558
2.5500000000000003,2.1334210868018344,9.434567510155457,4.69024241846441
2.56,2.060950923218079,9.481469934340101,4.6802571866301195
2.57,2.298915717164768,9.528272506206402,4.672582760966511
2.58,1.9209471038025208,9.574998333816067,4.661054230089707
2.59,2.059900849795363,9.621608876116964,4.650850606344805
2.6,2.6285529484858676,9.668117382180412,4.646265791561567
2.61,2.584592179544298,9.714580040096028,4.641159814113745
2.62,2.294256988806109,9.760991638237165,4.63307032438633
2.63,2.2268064638631415,9.807322341481028,4.624233729937521
2.64,2.3316411985754195,9.853564678780403,4.61637491291547
2.65,2.789538803804115,9.899728427909558,4.613022234313662
2.66,2.4009345198681555,9.945858650252696,4.60569956707074
2.67,2.5018870531060142,9.991915645923402,4.599312471383618
2.68,2.2794479129477403,10.03790877063724,4.590624838042789
2.69,2.3321187395374827,10.083815019017667,4.582393645801782
2.7,2.4493719574714596,10.129638955475684,4.575263751223957
2.71,2.3451583836788563,10.175391592987923,4.567017897771735
2.72,1.9404640216163191,10.22106177196564,4.554654210057493
2.73,2.5760475704495436,10.266608314066215,4.548585926692914
2.74,0.8635581064160999,10.312094173333143,4.52531682631221
2.75,1.4088483702936163,10.357347341596265,4.5074678296026995
2.7600000000000002,1.1239545445235601,10.402422019892292,4.486724010790736
2.77,1.0007793250983152,10.447289260000199,4.464710149974958
2.7800000000000002,1.0744502699910528,10.491936361499949,4.443398298779931
2.79,0.9648852642576634,10.536370344487748,4.420954782952558
2.8000000000000003,0.8892982887598939,10.580579892317274,4.3977226381938
2.81,1.02810449422751,10.624557118699212,4.375848216755956
2.82,1.1635829354076992,10.668315600866771,4.355295311330744
2.83,0.8936788922413724,10.711868553980079,4.3320072307730975
2.84,0.8621374089891102,10.75518862628781,4.308374849678096
2.85,0.915487113787094,10.79827237478459,4.285248406439195
2.86,1.1769870607397048,10.841124858848982,4.264708611280925
2.87,1.2770948914628402,10.883771944961792,4.245135538949653
2.88,1.05898762435886,10.926223300351289,4.223345032455944
2.89,1.1028476687775108,10.968456750675848,4.201962699961877
2.9,0.8606446705173434,11.010476377675467,4.178127326415794
2.91,1.161935771960831,11.052257650939625,4.1572804130640115
2.92,1.0969322440633809,11.093830455070265,4.1357520191701065
2.93,0.8445592503848692,11.135187975261966,4.11167057071589
2.94,0.6290505195840096,11.176304680969125,4.085411523534416
2.95,0.7424708211139951,11.217158796204469,4.060270093574782
2.96,0.8527442963341234,11.257761497140217,4.036212543711777
2.97,1.218972305519721,11.298123622577336,4.015796212413414
2.98,1.2971567971382312,11.33828158470147,3.996132042608608
2.99,0.8986812668755105,11.378242905127555,3.9724519620014385
3.0,0.9050017714161068,11.41796742474757,3.948814364000341
3.0100000000000002,1.0389094531648593,11.457455568387573,3.9264954877724936
3.02,0.9890141437850111,11.496720523265298,3.9036544793541372
3.0300000000000002,1.1727716587651817,11.535757068058839,3.882629618696873
3.04,0.8819472232529441,11.574583364245807,3.8586710027465427
3.0500000000000003,1.1764134395265657,11.613170074273272,3.8376392929064505
3.06,0.9387398823964149,11.651546467202337,3.8142062533496017
3.0700000000000003,1.1573797841839373,11.689688529735832,3.7929414426236625
3.08,0.9323767495126575,11.72761794416207,3.7694034794527584
3.09,0.8639659053886904,11.765311978956598,3.7451643939196892
3.1,1.3690483699383602,11.802763622895794,3.7259613426763605
3.11,1.1996302584797496,11.840023236322558,3.7050372146586756
3.12,0.628175821943323,11.877073608469145,3.678376333368817
3.13,0.8972301396123845,11.913857371802832,3.6543985467145808
3.14,1.2275694263260808,11.950401357269978,3.6337105298674492
3.15,0.7472527481276616,11.986738462568653,3.6081979783095175
3.16,1.1407205078749882,12.022820442351748,3.586611211517356
3.17,1.1199960626643244,12.058686554466922,3.5647990032305024
3.18,0.8467555263519826,12.094334544499228,3.540237187877012
3.19,0.9848214327212045,12.129736916377999,3.517046140145533
3.2,0.5685812922443101,12.164907377779453,3.4896798638848563
3.21,1.3406711452837097,12.199804176418303,3.4700325609224225
3.22,0.9247663401309816,12.234504502027526,3.44620553456859
3.23,1.1473474522456177,12.268966557373213,3.4245944862505695
3.24,1.1093531102654508,12.303212502235718,3.402588598022851
3.25,1.2581609995903635,12.337238388215948,3.382057311519226
3.2600000000000002,0.8999241605898539,12.37105896133114,3.3579269330698946
3.27,1.0273493874758595,12.40463823066184,3.3350634916893163
3.2800000000000002,1.0984066824932714,12.437988865578733,3.312900623323702
3.29,1.1610931602564618,12.47111787181197,3.2913533256367997
3.3000000000000003,1.2174557096521508,12.504031405068337,3.270357263675605
3.31,0.8911084958553018,12.536734977705093,3.2460843926648324
3.3200000000000003,0.8537393533094815,12.569195821631741,3.221433105260855
3.33,1.2586071152200002,12.60141015268435,3.2008272020066393
3.34,0.5791696549759382,12.633418424704416,3.1734140102460136
3.35,1.3005912980789005,12.665152564806876,3.153219551351779
3.36,0.9261199935551044,12.696684760320395,3.1292673972793366
3.37,0.9856722761723068,12.727977434293187,3.1059075820272204
3.38,0.8501163217463352,12.759036510113459,3.0811880214210294
3.39,0.9769457448632034,12.78984839032767,3.057736435795882
3.4,1.240812487166549,12.820425754685628,3.036920522797402
3.41,1.140757462263174,12.850794959913602,3.015094944603669
3.42,1.085122138730447,12.880945909359639,2.992706838709637
3.43,1.0043594431967147,12.910872977746735,2.9695067742261108
3.44,0.6974628474759494,12.940568045488996,2.9432358898098117
3.45,0.817757459266818,12.970000404387095,2.9181742385869773
